#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
10105	GRID-  76-R2C2	tumor protein, translationally-controlled 1	Mus musculus translationally regulated  transcript (21 kDa) (Trt), mRNA	tumor protein, translationally-controlled 1	BG085490 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085490>	Tpt1	254	22070	
10106	GRID-  76-R2C3	9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130016L07 product:unknown EST, full insert sequence		ESTs	BG073032 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073032>		102852	-	
10107	GRID-  76-R2C5			no value	AW549495 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW549495>		no value	-	
10108	GRID-  76-R3C1			no value	AW550958 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW550958>		no value	-	
10109	GRID-  76-R3C2	Transcribed sequence with moderate similarity to protein ref:NP_002992.1 (H.sapiens) succinate dehydrogenase complex, subunit C precursor; Succinate dehydrogenase complex, subunit C, integral membrane protein,; succinate-ubiquinone oxidoreducatase cy	Homo sapiens mRNA for cytochrome b  large subunit of complex II, complete cds	RIKEN cDNA 0610010E03 gene	BG086727 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086727>		22227	66052	
10110	GRID-  76-R3C4			EST	AW553023 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW553023>		103025	-	
10111	GRID-  76-R3C5	Transcribed sequences		ESTs	BG074667 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074667>		103077	-	
10112	GRID-  76-R4C1	eukaryotic translation initiation factor 5B	Homo sapiens cDNA FLJ10524 fis,  clone NT2RP2000880, highly similar to Homo sapiens mRNA  for translation initiation factor 2	no value	AW554947 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW554947>	Eif5b	35618	56210	
10113	GRID-  76-R4C3	translocation protein 1	Homo sapiens translocation protein 1  (TLOC1), mRNA	RIKEN cDNA 4933429H19 gene	BG087866 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087866>	Tloc1	200980	-	
10114	GRID-  76-R4C4			ESTs	BG075654 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075654>		197296	-	
10115	GRID-  76-R4C5			no value	BI076827 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076827>		no value	-	
10116	GRID-  76-R5C1			no value	AW558672 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW558672>		no value	-	
10117	GRID-  76-R5C2	cDNA sequence BC026744		Mus musculus RIKEN cDNA 2300007F24 gene (2300007F24Rik), mRNA	BQ550351 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550351>	BC026744	4079	-	
10118	GRID-  76-R5C3	peroxisome proliferator activated receptor binding protein		Mus musculus peroxisome proliferator activated receptor binding  protein (Pparbp), mRNA	BQ551020 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551020>	Pparbp	12926	19014	
10119	GRID-  76-R5C4	RAB33B, member of RAS oncogene family		Mus musculus RAB33B, member of RAS oncogene family (Rab33b), mRNA	BQ551679 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551679>	Rab33b	1664	19338	
10120	GRID-  76-R5C5	Transcribed sequences		UNKNOWN	BQ552300 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552300>		217894	-	
10121	GRID-  77-R1C1	RIKEN cDNA 4933405A16 gene		RIKEN cDNA 5133401H06 gene	BG070659 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070659>	4933405A16Rik	35676	71305	
10122	GRID-  77-R1C2	Transcribed sequences		ESTs	BG071011 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071011>		173349	-	
10123	GRID-  77-R1C3	tripartite motif protein 34		DNA segment, Chr 11, KL Mohlke 35	BG071346 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071346>	Trim34	38802	94094	
10124	GRID-  77-R1C4	RIKEN cDNA 1700030B17 gene		RIKEN cDNA 1700030B17 gene	BG071663 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071663>	1700030B17Rik	17834	70375	
10125	GRID-  77-R1C5			ESTs	BG072014 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072014>		17879	-	
10126	GRID-  77-R2C1	Transcribed sequences		ESTs	BG072369 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072369>		173945	-	
10127	GRID-  77-R2C2	agrin	Mus musculus agrin gene, exon	Mus musculus, clone IMAGE:3494258, mRNA, partial cds	BG085480 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085480>	Agrn	193413	-	
10128	GRID-  77-R2C3	Transcribed sequences		ESTs	BG073024 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073024>		37872	-	
10129	GRID-  77-R2C5	RIKEN cDNA 1810074P20 gene	Homo sapiens mRNA for KIAA0776  protein, partial cds	RIKEN cDNA 1810074P20 gene	BG086097 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086097>	1810074P20Rik	23543	67490	
10130	GRID-  77-R3C1	Transcribed sequences		ESTs	BG073763 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073763>		102939	-	
10131	GRID-  77-R3C2	CD3 antigen, zeta polypeptide	Rattus norvegicus gene for T cell  receptor eta chain, partial cds	expressed sequence AW552088	BG086717 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086717>	Cd3z	23614	98717	
10132	GRID-  77-R3C4	procollagen, type III, alpha 1	M.musculus COL3A1 gene for collagen  alpha-I	procollagen, type III, alpha 1	BG074327 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074327>	Col3a1	147387	12825	
10133	GRID-  77-R3C5	RIKEN cDNA 6720463M24 gene		expressed sequence AI317232	BG074657 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074657>	6720463M24Rik	23503	105476	
10134	GRID-  77-R4C1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	Mus musculus chs HMG CoA synthase  mRNA, partial cds	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	BG087678 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087678>	Hmgcs2	10633	15360	
10135	GRID-  77-R4C3	RIKEN cDNA 1700056O17 gene		no value	BG075307 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075307>	1700056O17Rik	132426	-	
10136	GRID-  77-R4C4	non-POU-domain-containing, octamer binding protein	NonO=non-POU domain-containing  octamer-binding protein [mice, B-cell leukemia, BCL1,  mRNA, 2411 nt]	non-POU-domain-containing, octamer binding protein	BG075645 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075645>	Nono	21559	-	
10137	GRID-  77-R4C5	RIKEN cDNA 2700067D09 gene		RIKEN cDNA 2700067D09 gene	BG075950 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075950>	2700067D09Rik	29333	-	
10138	GRID-  77-R5C1	Transcribed sequence		newborn ovary homeobox gene	BG076274 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076274>		17715	-	
10139	GRID-  77-R5C2	vesicle-associated membrane protein, associated protein B and C		UNKNOWN	BQ550330 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550330>	Vapb	38800	56491	
10140	GRID-  77-R5C3	mitochondrial ribosomal protein L55		Mus musculus mitochondrial ribosomal protein L55 (Mrpl55), mRNA	BQ551004 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551004>	Mrpl55	34801	67212	
10141	GRID-  77-R5C4	dynactin 1		Mus musculus dynactin 1 (Dctn1), mRNA	BQ551662 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551662>	Dctn1	6919	13191	
10142	GRID-  77-R5C5	spermatogenesis associated 5		Mus musculus spermatogenesis associated factor (Spaf), mRNA	BQ552284 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552284>	Spata5	25633	57815	
10143	GRID-  78-R1C1	Transcribed sequences		ESTs	BG070671 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070671>		173291	-	
10144	GRID-  78-R1C2	Similar to KIAA1855 protein (LOC210619), mRNA		expressed sequence AU017937	BG071023 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071023>		26075	106699	
10145	GRID-  78-R1C3	extracellular proteinase inhibitor	Mus musculus extracellular proteinase  inhibitor (Expi), mRNA	extracellular proteinase inhibitor	BG071358 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071358>	Expi	1650	14038	
10146	GRID-  78-R1C4	RIKEN cDNA 1190006E07 gene	Homo sapiens DKFZP564O123 protein  (DKFZP564O123), mRNA	RIKEN cDNA 1190006E07 gene	BG084517 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084517>	1190006E07Rik	18941	68942	
10147	GRID-  78-R1C5	polyadenylate-binding protein-interacting protein 2	Homo sapiens cDNA: FLJ20899 fis,  clone ADKA03588, highly similar to AF151052 Homo sapiens  HSPC218 mRNA	RIKEN cDNA 2310050K10 gene	BG072026 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072026>	Paip2	29769	67869	
10148	GRID-  78-R2C1	elongation factor RNA polymerase II 2	Homo sapiens ELL-RELATED RNA POLYMERASE  II, ELONGATION FACTOR (ELL2), mRNA	ELL-related RNA polymerase II, elongation factor	BG085211 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085211>	Ell2	21288	192657	
10149	GRID-  78-R2C2	RIKEN cDNA 6330505F04 gene		Mus musculus, clone IMAGE:4016860, mRNA, partial cds	BG072698 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072698>	6330505F04Rik	30600	-	
10150	GRID-  78-R2C3	Transcribed sequence with moderate similarity to protein pir:S12207 (M.musculus) S12207 hypothetical protein		ESTs	BG073033 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073033>		105022	-	
10151	GRID-  78-R2C5	fibrillarin	Mus musculus fibrillarin (Fbl), mRNA	fibrillarin	BG086106 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086106>	Fbl	4595	14113	
10152	GRID-  78-R3C1			no value	AW550960 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW550960>		no value	-	
10153	GRID-  78-R3C2	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	Mus musculus hydroxylacyl-Coenzyme A  dehydrogenase (Hadh), mRNA	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	BG086728 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086728>	Hadhsc	2491	15107	
10154	GRID-  78-R3C4			ESTs	BG074334 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074334>		197267	-	
10155	GRID-  78-R3C5	minichromosome maintenance deficient 2 mitotin (S. cerevisiae)	Mouse mRNA for mMCM2, complete cds	mini chromosome maintenance deficient 2 (S. cerevisiae)	BG074668 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074668>	Mcm2	16711	17216	
10156	GRID-  78-R4C1	eukaryotic translation initiation factor 3, subunit 10 (theta)	Mus musculus p162 protein mRNA,  complete cds	eukaryotic translation initiation factor 3	BG074988 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074988>	Eif3s10	2238	13669	
10157	GRID-  78-R4C3	mitogen activated protein kinase 3	M.musculus mRNA for mitogen activated  protein kinase (erk-1)	mitogen activated protein kinase 3	BG075319 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075319>	Mapk3	8385	-	
10158	GRID-  78-R4C4	olfactory receptor MOR224-10		ESTs	BG075655 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075655>	MOR224-10	100857	-	
10159	GRID-  78-R4C5	Transcribed sequences		ESTs, Weakly similar to SCP3 MOUSE SYNAPTONEMAL COMPLEX PROTEIN 3 [M.musculus]	BG075960 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075960>		103252	-	
10160	GRID-  78-R5C1			no value	BI076854 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076854>		no value	-	
10161	GRID-  78-R5C2	Transcribed sequences		UNKNOWN	BQ550353 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550353>		172872	-	
10162	GRID-  78-R5C3	Transcribed sequences			BQ551022 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551022>		216051	-	
10163	GRID-  78-R5C4	Transcribed sequences		UNKNOWN	BQ551681 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551681>		217860	-	
10164	GRID-  78-R5C5	mucosa associated lymphoid tissue lymphoma translocation gene 1		UNKNOWN	BQ552302 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552302>	Malt1	83636	-	
10165	GRID-  79-R1C1	neuregulin 4	Mus musculus neuregulin-4 short  isoform (Nrg4) mRNA, complete cds	neuregulin 4	BG083489 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083489>	Nrg4	10142	83961	
10166	GRID-  79-R1C2	dynein, cytoplasmic, light chain 2B		RIKEN cDNA 1700009A04 gene	BG071012 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071012>	Dncl2b	23114	75465	
10167	GRID-  79-R1C3	STARD3 N-terminal like		no value	BG071347 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071347>	Stard3nl	195847	76205	
10168	GRID-  79-R1C4	Transcribed sequences		ESTs	BG071664 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071664>		17780	-	
10169	GRID-  79-R1C5	mitogen-activated protein kinase kinase kinase kinase 4	Mus musculus mitogen-activated protein  kinase kinase kinase kinase 4 (Map4k4), mRNA	mitogen-activated protein kinase kinase kinase kinase 4	BG084932 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084932>	Map4k4	987	26921	
10170	GRID-  79-R2C1	cDNA sequence BC005682	Homo sapiens CGI-101 protein  (LOC51009), mRNA	hypothetical protein, MGC: 11613	BG085203 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085203>	BC005682	28131	116891	
10171	GRID-  79-R2C2			ESTs	BG072687 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072687>		102812	-	
10172	GRID-  79-R2C3		Mus musculus prominin (Prom), mRNA	EST	AW547981 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW547981>		102849	-	
10173	GRID-  79-R2C5			no value	BG073364 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073364>		no value	-	
10174	GRID-  79-R3C1	ribosomal protein S6 kinase, polypeptide 2	Mus musculus ribosomal protein S6  kinase, 70kD, polypeptide 2 (Rps6kb2), mRNA	ribosomal protein S6 kinase, 70kD, polypeptide 2	BG086411 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086411>	Rps6kb2	20917	58988	
10175	GRID-  79-R3C2	villin 2	Mus musculus villin 2 (Vil2), mRNA	villin 2	BG086718 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086718>	Vil2	4551	22350	
10176	GRID-  79-R3C4	solute carrier family 5 (sodium/glucose cotransporter), member 2	Rattus norvegicus low affinity  Na-dependent glucose transporter (SGLT2) mRNA, complete  cds	low affinity sodium-dependent glucose cotransporter	AW552979 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW552979>	Slc5a2	38870	233913	
10177	GRID-  79-R3C5	Transcribed sequences		no value	BG074658 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074658>		89181	-	
10178	GRID-  79-R4C1	suppressor of variegation 3-9 homolog 1 (Drosophila)	Mus musculus suppressor of variegation  3-9 homologue 1 (Drosophila) (Suv39h1), mRNA	suppressor of variegation 3-9 homolog 1 (Drosophila)	BG087679 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087679>	Suv39h1	9244	20937	
10179	GRID-  79-R4C3	zinc finger protein 72	Mus musculus KRAB zinc finger  protein (Mzf22) mRNA, complete cds	KRAB zinc finger protein (Mzf22)	BG087856 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087856>	Zfp72	31516	-	
10180	GRID-  79-R4C4	praja 2, RING-H2 motif containing	Rattus norvegicus mRNA for  neurodegeneration associated protein 1, complete cds	Mus musculus, clone IMAGE:3499845, mRNA, partial cds	BG088189 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088189>	Pja2	41711	-	
10181	GRID-  79-R4C5		Mouse mRNA for elongation factor 1-alpha  (EF 1-alpha)	no value	AW557711 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW557711>		no value	-	
10182	GRID-  79-R5C1			no value	BI076851 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076851>		no value	-	
10183	GRID-  79-R5C2	15 days embryo male testis cDNA, RIKEN full-length enriched library, clone:8030476H10 product:mitochondria located 1 homolog (human), full insert sequence		UNKNOWN	BQ550332 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550332>		104293	-	
10184	GRID-  79-R5C3	serine (or cysteine) proteinase inhibitor, clade B, member 9c			BQ551006 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551006>	Serpinb9c	217754	20707	
10185	GRID-  79-R5C4	RIKEN cDNA G630039H03 gene		UNKNOWN	BQ551664 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551664>	G630039H03Rik	95229	-	
10186	GRID-  79-R5C5	Transcribed sequences		UNKNOWN	BQ552285 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552285>		218167	-	
10187	GRID-  80-R1C1	zinc finger protein 9	Homo sapiens ZNF01 and HUMORFKG1B  genes, partial sequence, complete sequence	no value	BG070672 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070672>	Zfp9	29212	101235	
10188	GRID-  80-R1C2	Transcribed sequences		ESTs	BG071024 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071024>		34195	-	
10189	GRID-  80-R1C3			ESTs, Weakly similar to A53798 58K membrane-associated protein - rat [R.norvegicus]	BG071359 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071359>		173880	-	
10190	GRID-  80-R1C4	RIKEN cDNA E030025C11 gene		Mus musculus, Similar to hypothetical gene supported by AF086316, clone MGC:32485 IMAGE:5052777, mRNA, complete cds	BG071673 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071673>	E030025C11Rik	26888	-	
10191	GRID-  80-R1C5	Transcribed sequences		ESTs	BG072027 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072027>		174060	-	
10192	GRID-  80-R2C1	Fc receptor, IgG, high affinity I	Mus musculus Fc receptor, IgG, high  affinity I (Fcgr1), mRNA	Fc receptor, IgG, high affinity I	BG085212 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085212>	Fcgr1	150	14129	
10193	GRID-  80-R2C2	sorting nexin 3	Mus musculus sorting nexin 3 (Snx3),  mRNA	sorting nexin 3	BG085492 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085492>	Snx3	7356	54198	
10194	GRID-  80-R2C3	inosine 5'-phosphate dehydrogenase 2	Mouse IMP dehydrogenase mRNA, complete  cds	inosine 5'-phosphate dehydrogenase 2	BG073034 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073034>	Impdh2	6065	23918	
10195	GRID-  80-R2C5	pescadillo homolog 1, containing BRCT domain (zebrafish)	Rattus norvegicus phgdh gene  for 3-phosphoglycerate dehydrogenase, exons 1-12	pescadillo homolog 1, containing BRCT domain (zebrafish)	BG086107 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086107>	Pes1	28659	64934	
10196	GRID-  80-R3C1	MAD2L1 binding protein	Homo sapiens gene predicted from cDNA  with a complete coding sequence (KIAA0110), mRNA	RIKEN cDNA 0610009D16 gene	BG086417 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086417>	Mad2l1bp	27787	66591	
10197	GRID-  80-R3C2	nuclear receptor subfamily 1, group D, member 1	Homo sapiens thyroid hormone receptor,  alpha (avian erythroblastic leukemia viral (v-erb-a)  oncogene homolog) (THRA), mRNA	expressed sequence AW259572	BI076689 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076689>	Nr1d1	203924	104615	
10198	GRID-  80-R3C4	Transcribed sequences		ESTs	BG074335 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074335>		182712	-	
10199	GRID-  80-R3C5	mitochondrial ribosomal protein S35	Homo sapiens MDS023 protein (MDS023),  mRNA	Mus musculus, Similar to mitochondrial ribosomal protein S35, clone MGC:28446 IMAGE:4158657, mRNA, complete cds	BG074669 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074669>	Mrps35	46656	232536	
10200	GRID-  80-R4C1			EST	BG074989 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074989>		188497	-	
10201	GRID-  80-R4C3	complement component 1, q subcomponent, beta polypeptide	Mus musculus complement component 1, q  subcomponent, beta polypeptide (C1qb), mRNA	complement component 1, q subcomponent, beta polypeptide	BG087868 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087868>	C1qb	2570	-	
10202	GRID-  80-R4C4	5'-3' exoribonuclease 2	Mus musculus 5'-3' exoribonuclease 2  (Xrn2), mRNA	5'-3' exoribonuclease 2	BG088199 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088199>	Xrn2	3065	-	
